tileGrid,Tile grid,Rejilla de tiles,Rejilla de tiles,Reixeta de tiles,瓦片网格,圖塊網格,タイルグリッド,Griglia tile,Tile-Gitter,Grille de tuiles,Tile grid,Tile grid,Tile grid,Tile grid,Tile grid,Tile grid,Reixeta de tiles,กริดไทล์,타일 그리드
framesGrid,Frames grid,Rejilla de fotogramas,Rejilla de fotogramas,Reixeta de fotogrames,帧网格,幀網格,フレームグリッド,Griglia frame,Frame-Gitter,Grille de frames,Frames grid,Frames grid,Frames grid,Frames grid,Frames grid,Frames grid,Reixeta de fotogrames,กริดเฟรม,프레임 그리드
tileSize,Tile size,Tamaño de tile,Tamaño de tile,Mida del tile,瓦片大小,圖塊大小,タイルサイズ,Dimensione tile,Tile-Größe,Taille de tuile,Tile size,Tile size,Tile size,Tile size,Tile size,Tile size,Mida del tile,ขนาดไทล์,타일 크기
frameSize,Frame size,Tamaño de fotograma,Tamaño de fotograma,Mida del fotograma,帧大小,幀大小,フレームサイズ,Dimensione frame,Frame-Größe,Taille de frame,Frame size,Frame size,Frame size,Frame size,Frame size,Frame size,Mida del fotograma,ขนาดเฟรม,프레임 크기
tileWidth,Width,Ancho,Ancho,Amplada,宽度,寬度,幅,Larghezza,Breite,Largeur,Width,Width,Width,Width,Width,Width,Amplada,ความกว้าง,너비
tileHeight,Height,Alto,Alto,Alçada,高度,高度,高さ,Altezza,Höhe,Hauteur,Height,Height,Height,Height,Height,Height,Alçada,ความสูง,높이
tileGridColor,Tile grid color,Color de la rejilla de tiles,Color de la rejilla de tiles,Color de la reixeta de tiles,瓦片网格颜色,圖塊網格顏色,タイルグリッドの色,Colore griglia tile,Tile-Gitterfarbe,Couleur de la grille de tuiles,Tile grid color,Tile grid цвет,Tile grid color,Tile grid kolor,Tile grid renk,Tile grid kolore,Color de la reixeta de tiles,สีกริดไทล์,타일 그리드 색상
frameWidth,Width,Ancho,Ancho,Amplada,宽度,寬度,幅,Larghezza,Breite,Largeur,Width,Width,Width,Width,Width,Width,Amplada,ความกว้าง,너비
frameHeight,Height,Alto,Alto,Alçada,高度,高度,高さ,Altezza,Höhe,Hauteur,Height,Height,Height,Height,Height,Height,Alçada,ความสูง,높이
frameGridColor,Frame grid color,Color de la rejilla de fotogramas,Color de la rejilla de fotogramas,Color de la reixeta de fotogrames,帧网格颜色,幀網格顏色,フレームグリッドの色,Colore griglia frame,Frame-Gitterfarbe,Couleur de la grille de frames,Frame grid color,Frame grid цвет,Frame grid color,Frame grid kolor,Frame grid renk,Frame grid kolore,Color de la reixeta de fotogrames,สีกริดเฟรม,프레임 그리드 색상
originalIndexedPng,Original:,Original:,Original:,Original:,原始：,原始：,オリジナル:,Originale:,Original:,Original:,Original:,Original:,Original:,Original:,Original:,Original:,Original:,ต้นฉบับ:,원본:
integerScaling,Integer scaling,Escala entera,Escala entera,Escalat enter,整数缩放,整數縮放,整数スケーリング,Scaling intero,Ganzzahlige Skalierung,Mise à l'échelle entière,Integer scaling,Integer scaling,Integer scaling,Integer scaling,Integer scaling,Integer scaling,Escalat enter,สเกลเป็นจำนวนเต็ม,정수 배율
width,Width,Ancho,Ancho,Amplada,宽度,寬度,幅,Larghezza,Breite,Largeur,Width,Width,Width,Width,Width,Width,Amplada,ความกว้าง,너비,Šířka
height,Height,Alto,Alto,Alçada,高度,高度,高さ,Altezza,Höhe,Hauteur,Height,Height,Height,Height,Height,Height,Alçada,ความสูง,높이,Výška
resolution,Resolution,Resolución,Resolución,Resolució,分辨率,解析度,解像度,Risoluzione,Auflösung,Résolution,Resolution,Resolution,Resolution,Resolution,Resolution,Resolution,Resolució,ความละเอียด,해상도,Rozlišení
targetResolution,Target Resolution,Resolución objetivo,Resolución objetivo,Resolució objectiu,目标分辨率,目標解析度,目標解像度,Risoluzione target,Zielauflösung,Résolution cible,Target Resolution,Target Resolution,Target Resolution,Target Resolution,Target Resolution,Target Resolution,Resolució objectiu,ความละเอียดเป้าหมาย,목표 해상도
originalSize,Original,Original,Original,Original,原始,原始,オリジナル,Originale,Original,Original,Original,Original,Original,Original,Original,Original,Original,ต้นฉบับ,원본
keepOriginalSize,Keep original size,Mantener tamaño original,Mantener tamaño original,Mantenir mida original,保留原始大小,保持原始大小,元のサイズを保持,Mantieni dimensione originale,Originalgröße beibehalten,Conserver la taille originale,Keep original size,Keep original size,Keep original size,Keep original size,Keep original size,Keep original size,Mantenir mida original,เก็บขนาดต้นฉบับ,원본 크기 유지
unscaledSize,Unscaled Resolution,Resolución sin escalado,Resolución sin escalado,Resolució sense escalat,未缩放分辨率,未縮放解析度,非スケール解像度,Risoluzione non scalata,Unskalierte Auflösung,Résolution sans mise à l'échelle,Unscaled Resolution,Unscaled Resolution,Unscaled Resolution,Unscaled Resolution,Unscaled Resolution,Unscaled Resolution,Resolució sense escalat,ความละเอียดไม่สเกล,비확대 해상도
removeScaling,Remove scaling from pixel art,Eliminar escalado del pixel art,Quitar escalado del pixel art,Eliminar escalat del pixel art,移除像素艺术缩放,移除像素藝術縮放,ピクセルアートのスケーリングを除去,Rimuovi scaling dal pixel art,Skalierung vom Pixelart entfernen,Supprimer la mise à l'échelle du pixel art,Remove scaling from pixel art,Remove scaling from pixel art,Remove scaling from pixel art,Remove scaling from pixel art,Remove scaling from pixel art,Remove scaling from pixel art,Eliminar escalat del pixel art,นำการสเกลออกจาก pixel art,픽셀 아트 스케일 제거
gameBoyRes,"Game Boy, Game Gear","Game Boy, Game Gear","Game Boy, Game Gear","Game Boy, Game Gear","Game Boy, Game Gear","Game Boy, Game Gear","ゲームボーイ, ゲームギア","Game Boy, Game Gear","Game Boy, Game Gear","Game Boy, Game Gear","Game Boy, Game Gear","Game Boy, Game Gear","Game Boy, Game Gear","Game Boy, Game Gear","Game Boy, Game Gear","Game Boy, Game Gear","Game Boy, Game Gear","Game Boy, Game Gear","Game Boy, Game Gear"
amstradCpc0,"Amstrad CPC mode 0, Commodore 64 Multicolor","Modo Amstrad CPC 0, Commodore 64 multicolor","Modo Amstrad CPC 0, Commodore 64 multicolor","Mode Amstrad CPC 0, Commodore 64 multicolor",Amstrad CPC 模式 0，Commodore 64 多色,Amstrad CPC 模式 0，Commodore 64 多色,Amstrad CPC モード 0、Commodore 64 マルチカラー,"Modalità Amstrad CPC 0, Commodore 64 multicolor","Amstrad CPC Modus 0, Commodore 64 Mehrfarben","Mode Amstrad CPC 0, Commodore 64 multicolore","Amstrad CPC mode 0, Commodore 64 Multicolor","Amstrad CPC mode 0, Commodore 64 Multiцвет","Amstrad CPC mode 0, Commodore 64 Multicolor","Amstrad CPC mode 0, Commodore 64 Multikolor","Amstrad CPC mode 0, Commodore 64 Multirenk","Amstrad CPC mode 0, Commodore 64 Multikolore","Mode Amstrad CPC 0, Commodore 64 multicolor","โหมด Amstrad CPC 0, Commodore 64 หลายสี","Amstrad CPC 모드 0, Commodore 64 멀티컬러"
megaDriveNtscH32,"Master System, Mega Drive NTSC H32, NES PAL, SNES","Master System, Mega Drive NTSC H32, NES PAL, SNES","Master System, Mega Drive NTSC H32, NES PAL, SNES","Master System, Mega Drive NTSC H32, NES PAL, SNES",Master System、Mega Drive NTSC H32、NES PAL、SNES,Master System、Mega Drive NTSC H32、NES PAL、SNES,Master System、Mega Drive NTSC H32、NES PAL、SNES,"Master System, Mega Drive NTSC H32, NES PAL, SNES","Master System, Mega Drive NTSC H32, NES PAL, SNES","Master System, Mega Drive NTSC H32, NES PAL, SNES","Master System, Mega Drive NTSC H32, NES PAL, SNES","Master System, Mega Drive NTSC H32, NES PAL, SNES","Master System, Mega Drive NTSC H32, NES PAL, SNES","Master System, Mega Drive NTSC H32, NES PAL, SNES","Master System, Mega Drive NTSC H32, NES PAL, SNES","Master System, Mega Drive NTSC H32, NES PAL, SNES","Master System, Mega Drive NTSC H32, NES PAL, SNES","Master System, Mega Drive NTSC H32, NES PAL, SNES","Master System, Mega Drive NTSC H32, NES PAL, SNES"
megaDrivePalH32,"Master System PAL, Mega Drive PAL H32, NES NTSC, Master System PAL","Master System PAL, Mega Drive PAL H32, NES NTSC, Master System PAL","Master System PAL, Mega Drive PAL H32, NES NTSC, Master System PAL","Master System PAL, Mega Drive PAL H32, NES NTSC, Master System PAL","Master System PAL, Mega Drive PAL H32, NES NTSC, Master System PAL","Master System PAL, Mega Drive PAL H32, NES NTSC, Master System PAL","マスターシステム PAL, メガドライブ PAL H32, ファミコン NTSC, マスターシステム PAL","Master System PAL, Mega Drive PAL H32, NES NTSC, Master System PAL","Master System PAL, Mega Drive PAL H32, NES NTSC, Master System PAL","Master System PAL, Mega Drive PAL H32, NES NTSC, Master System PAL","Master System PAL, Mega Drive PAL H32, NES NTSC, Master System PAL","Master System PAL, Mega Drive PAL H32, NES NTSC, Master System PAL","Master System PAL, Mega Drive PAL H32, NES NTSC, Master System PAL","Master System PAL, Mega Drive PAL H32, NES NTSC, Master System PAL","Master System PAL, Mega Drive PAL H32, NES NTSC, Master System PAL","Master System PAL, Mega Drive PAL H32, NES NTSC, Master System PAL","Master System PAL, Mega Drive PAL H32, NES NTSC, Master System PAL","Master System PAL, Mega Drive PAL H32, NES NTSC, Master System PAL","Master System PAL, Mega Drive PAL H32, NES NTSC, Master System PAL","Master System PAL, Mega Drive PAL H32, NES NTSC, Master System PAL"
neoGeoCd,Neo Geo CD,Neo Geo CD,Neo Geo CD,Neo Geo CD,Neo Geo CD,Neo Geo CD,Neo Geo CD,Neo Geo CD,Neo Geo CD,Neo Geo CD,Neo Geo CD,Neo Geo CD,Neo Geo CD,Neo Geo CD,Neo Geo CD,Neo Geo CD,Neo Geo CD,Neo Geo CD,Neo Geo CD
amstradCpc1,"Amstrad CPC mode 1, Commodore 64 High-Res, Commodore Amiga Low Res NTSC"," ""Amstrad CPC modo 1","Modo Amstrad CPC 1, Commodore 64 High-Res, Amiga Low Res NTSC","Mode Amstrad CPC 1, Commodore 64 High-Res, Amiga Low Res NTSC",Amstrad CPC 模式 1、Commodore 64 高分辨率、Amiga 低分辨率 NTSC,Amstrad CPC 模式 1、Commodore 64 高解析度、Amiga 低解析度 NTSC,Amstrad CPC モード 1、Commodore 64 High-Res、Amiga Low Res NTSC,"Modalità Amstrad CPC 1, Commodore 64 High-Res, Amiga Low Res NTSC","Amstrad CPC Modus 1, Commodore 64 High-Res, Amiga Low Res NTSC","Mode Amstrad CPC 1, Commodore 64 High-Res, Amiga Low Res NTSC","Amstrad CPC mode 1, Commodore 64 High-Res, Commodore Amiga Low Res NTSC","Amstrad CPC mode 1, Commodore 64 High-Res, Commodore Amiga Low Res NTSC","Amstrad CPC mode 1, Commodore 64 High-Res, Commodore Amiga Low Res NTSC","Amstrad CPC mode 1, Commodore 64 High-Res, Commodore Amiga Low Res NTSC","Amstrad CPC mode 1, Commodore 64 High-Res, Commodore Amiga Low Res NTSC","Amstrad CPC mode 1, Commodore 64 High-Res, Commodore Amiga Low Res NTSC","Mode Amstrad CPC 1, Commodore 64 High-Res, Amiga Low Res NTSC","โหมด Amstrad CPC 1, Commodore 64 ความละเอียดสูง, Amiga ความละเอียดต่ำ NTSC","Amstrad CPC 모드 1, Commodore 64 고해상도, Amiga 저해상도 NTSC","Amstrad CPC mode 1, Commodore 64 High-Res, Commodore Amiga Low Res NTSC"
megaDriveNtscH40,"Mega Drive NTSC H40, Neo Geo","Mega Drive NTSC H40, Neo Geo","Mega Drive NTSC H40, Neo Geo","Mega Drive NTSC H40, Neo Geo",Mega Drive NTSC H40、Neo Geo,Mega Drive NTSC H40、Neo Geo,Mega Drive NTSC H40、Neo Geo,"Mega Drive NTSC H40, Neo Geo","Mega Drive NTSC H40, Neo Geo","Mega Drive NTSC H40, Neo Geo","Mega Drive NTSC H40, Neo Geo","Mega Drive NTSC H40, Neo Geo","Mega Drive NTSC H40, Neo Geo","Mega Drive NTSC H40, Neo Geo","Mega Drive NTSC H40, Neo Geo","Mega Drive NTSC H40, Neo Geo","Mega Drive NTSC H40, Neo Geo","Mega Drive NTSC H40, Neo Geo","Mega Drive NTSC H40, Neo Geo"
megaDrivePalH40,Mega Drive PAL H40,Mega Drive PAL H40,Mega Drive PAL H40,Mega Drive PAL H40,Mega Drive PAL H40,Mega Drive PAL H40,Mega Drive PAL H40,Mega Drive PAL H40,Mega Drive PAL H40,Mega Drive PAL H40,Mega Drive PAL H40,Mega Drive PAL H40,Mega Drive PAL H40,Mega Drive PAL H40,Mega Drive PAL H40,Mega Drive PAL H40,Mega Drive PAL H40,Mega Drive PAL H40,Mega Drive PAL H40
amstradCpc2,"Amstrad CPC mode 2, Commodore Amiga Hi-Res NTSC","Modo Amstrad CPC 2, Commodore Amiga Hi-Res NTSC","Modo Amstrad CPC 2, Commodore Amiga Hi-Res NTSC","Mode Amstrad CPC 2, Commodore Amiga Hi-Res NTSC",Amstrad CPC 模式 2、Commodore Amiga 高分辨率 NTSC,Amstrad CPC 模式 2、Commodore Amiga 高解析度 NTSC,Amstrad CPC モード 2、Commodore Amiga Hi-Res NTSC,"Modalità Amstrad CPC 2, Commodore Amiga Hi-Res NTSC","Amstrad CPC Modus 2, Commodore Amiga Hi-Res NTSC","Mode Amstrad CPC 2, Commodore Amiga Hi-Res NTSC","Amstrad CPC mode 2, Commodore Amiga Hi-Res NTSC","Amstrad CPC mode 2, Commodore Amiga Hi-Res NTSC","Amstrad CPC mode 2, Commodore Amiga Hi-Res NTSC","Amstrad CPC mode 2, Commodore Amiga Hi-Res NTSC","Amstrad CPC mode 2, Commodore Amiga Hi-Res NTSC","Amstrad CPC mode 2, Commodore Amiga Hi-Res NTSC","Mode Amstrad CPC 2, Commodore Amiga Hi-Res NTSC","โหมด Amstrad CPC 2, Commodore Amiga Hi-Res NTSC","Amstrad CPC 모드 2, Commodore Amiga Hi-Res NTSC"
amigaLowResPal,Commodore Amiga Low Res PAL,Commodore Amiga Low Res PAL,Commodore Amiga Low Res PAL,Commodore Amiga Low Res PAL,Commodore Amiga 低分辨率 PAL,Commodore Amiga 低解析度 PAL,Commodore Amiga Low Res PAL,Commodore Amiga Low Res PAL,Commodore Amiga Low Res PAL,Commodore Amiga Low Res PAL,Commodore Amiga Low Res PAL,Commodore Amiga Low Res PAL,Commodore Amiga Low Res PAL,Commodore Amiga Low Res PAL,Commodore Amiga Low Res PAL,Commodore Amiga Low Res PAL,Commodore Amiga Low Res PAL,Commodore Amiga ความละเอียดต่ำ PAL,Commodore Amiga 저해상도 PAL
amigaHiResPal,Commodore Amiga Hi-Res PAL,Commodore Amiga Hi-Res PAL,Commodore Amiga Hi-Res PAL,Commodore Amiga Hi-Res PAL,Commodore Amiga 高分辨率 PAL,Commodore Amiga 高解析度 PAL,Commodore Amiga Hi-Res PAL,Commodore Amiga Hi-Res PAL,Commodore Amiga Hi-Res PAL,Commodore Amiga Hi-Res PAL,Commodore Amiga Hi-Res PAL,Commodore Amiga Hi-Res PAL,Commodore Amiga Hi-Res PAL,Commodore Amiga Hi-Res PAL,Commodore Amiga Hi-Res PAL,Commodore Amiga Hi-Res PAL,Commodore Amiga Hi-Res PAL,Commodore Amiga ความละเอียดสูง PAL,Commodore Amiga 고해상도 PAL
msxZxSpectrum,"MSX, Master System, ZX Spectrum","MSX, Master System, ZX Spectrum","MSX, Master System, ZX Spectrum","MSX, Master System, ZX Spectrum",MSX、Master System、ZX Spectrum,MSX、Master System、ZX Spectrum,MSX、Master System、ZX Spectrum,"MSX, Master System, ZX Spectrum","MSX, Master System, ZX Spectrum","MSX, Master System, ZX Spectrum","MSX, Master System, ZX Spectrum","MSX, Master System, ZX Spectrum","MSX, Master System, ZX Spectrum","MSX, Master System, ZX Spectrum","MSX, Master System, ZX Spectrum","MSX, Master System, ZX Spectrum","MSX, Master System, ZX Spectrum","MSX, Master System, ZX Spectrum","MSX, Master System, ZX Spectrum"
msxPlatform,MSX,MSX,MSX,MSX,MSX,MSX,MSX,MSX,MSX,MSX,MSX,MSX,MSX,MSX,MSX,MSX,MSX,MSX,MSX
cpsArcade,"CPS1, CPS2, CPS3","CPS1, CPS2, CPS3","CPS1, CPS2, CPS3","CPS1, CPS2, CPS3",CPS1、CPS2、CPS3,CPS1、CPS2、CPS3,CPS1、CPS2、CPS3,"CPS1, CPS2, CPS3","CPS1, CPS2, CPS3","CPS1, CPS2, CPS3","CPS1, CPS2, CPS3","CPS1, CPS2, CPS3","CPS1, CPS2, CPS3","CPS1, CPS2, CPS3","CPS1, CPS2, CPS3","CPS1, CPS2, CPS3","CPS1, CPS2, CPS3","CPS1, CPS2, CPS3","CPS1, CPS2, CPS3"
pspPlatform,PSP,PSP,PSP,PSP,PSP,PSP,PSP,PSP,PSP,PSP,PSP,PSP,PSP,PSP,PSP,PSP,PSP,PSP,PSP
msxHiRes,MSX 2,MSX 2,MSX 2,MSX 2,MSX 2,MSX 2,MSX 2,MSX 2,MSX 2,MSX 2,MSX 2,MSX 2,MSX 2,MSX 2,MSX 2,MSX 2,MSX 2,MSX 2,MSX 2
gameBoyAdvance,Game Boy Advance,Game Boy Advance,Game Boy Advance,Game Boy Advance,Game Boy Advance,Game Boy Advance,Game Boy Advance,Game Boy Advance,Game Boy Advance,Game Boy Advance,Game Boy Advance,Game Boy Advance,Game Boy Advance,Game Boy Advance,Game Boy Advance,Game Boy Advance,Game Boy Advance,Game Boy Advance,Game Boy Advance
vgaAmiga,"VGA, Commodore Amiga ECS","MT: VGA, Commodore Amiga ECS","MT: VGA, Commodore Amiga ECS","MT: VGA, Commodore Amiga ECS","MT: VGA, Commodore Amiga ECS","MT: VGA, Commodore Amiga ECS","MT: VGA, Commodore Amiga ECS","MT: VGA, Commodore Amiga ECS","MT: VGA, Commodore Amiga ECS","MT: VGA, Commodore Amiga ECS","VGA, Commodore Amiga ECS","VGA, Commodore Amiga ECS","VGA, Commodore Amiga ECS","VGA, Commodore Amiga ECS","VGA, Commodore Amiga ECS","VGA, Commodore Amiga ECS","VGA, Commodore Amiga ECS","VGA, Commodore Amiga ECS","VGA, Commodore Amiga ECS"
stretchToFit,Stretch to fit,Estirar para ajustar,Estirar para ajustar,Estirar per ajustar,拉伸以适应,延伸以適應,引き伸ばして合わせる,Allunga per adattare,Strecken um anzupassen,Étirer pour adapter,Stretch to fit,Stretch to fit,Stretch to fit,Stretch to fit,Stretch to fit,Stretch to fit,Estirar per ajustar,ยืดให้พอดี,늘려서 맞춤
centerWithBars,Center with black bars,Centrar con bandas negras,Centrar con franjas negras,Centrar amb bandes negres,居中并加黑边,置中並加黑邊,黒帯で中央表示,Centra con bande nere,Mit schwarzen Balken zentrieren,Centrer avec bandes noires,Center with black bars,Center with black bars,Center with black bars,Center with black bars,Center with black bars,Center with black bars,Centrar amb bandes negres,กึ่งกลางพร้อมแถบสีดำ,검은 바와 함께 가운데 정렬
scaleToFit,Scale to fit,Escalar para ajustar,Escalar para ajustar,Escalar per ajustar,缩放以适应,縮放以適應,スケールして合わせる,Scala per adattare,Skalieren um anzupassen,Échelle pour adapter,Scale to fit,Scale to fit,Scale to fit,Scale to fit,Scale to fit,Scale to fit,Escalar per ajustar,สเกลให้พอดี,맞춤으로 스케일
imageLoaded,Image loaded successfully!,¡Imagen cargada correctamente!,¡Imagen cargada correctamente!,Imatge carregada correctament!,图片加载成功！,圖片載入成功！,画像を読み込みました！,Immagine caricata con successo!,Bild erfolgreich geladen!,Image chargée avec succès !,Image loaded successfully!,Изображение loaded successfully!,Image loaded successfully!,Obraz loaded successfully!,Görüntü loaded successfully!,Irudia loaded successfully!,Imatge carregada correctament!,โหลดรูปสำเร็จ!,이미지 로드 완료!
imageLoadError,Failed to load image,Error al cargar la imagen,Error al cargar la imagen,Error en carregar la imatge,加载图片失败,載入圖片失敗,画像の読み込みに失敗しました,Errore nel caricamento dell'immagine,Fehler beim Laden des Bildes,Échec du chargement de l'image,Failed to load image,Failed to load image,Failed to load image,Failed to load image,Failed to load image,Failed to load image,Error en carregar la imatge,โหลดรูปไม่สำเร็จ,이미지 로드 실패
imageDownloaded,Image downloaded!,¡Imagen descargada!,¡Imagen descargada!,Imatge descarregada!,图片已下载！,圖片已下載！,画像をダウンロードしました！,Immagine scaricata!,Bild heruntergeladen!,Image téléchargée !,Image downloaded!,Изображение downloaded!,Image downloaded!,Obraz downloaded!,Görüntü downloaded!,Irudia downloaded!,Imatge descarregada!,ดาวน์โหลดรูปแล้ว!,이미지 다운로드 완료!
imageTooLarge,Image too large! Maximum size is 4096x4096px,¡Imagen demasiado grande! El tamaño máximo es 4096×4096px,¡Imagen demasiado grande! El tamaño máximo es 4096×4096px,Imatge massa gran! La mida màxima és 4096×4096px,图片过大！最大尺寸为 4096×4096px,圖片過大！最大尺寸為 4096×4096px,画像が大きすぎます！最大サイズは 4096×4096px,Immagine troppo grande! La dimensione massima è 4096×4096px,Bild zu groß! Maximale Größe ist 4096×4096px,Image trop grande ! La taille maximale est 4096×4096px,Image too large! Maximum size is 4096x4096px,Изображение too large! Maximum size is 4096x4096px,Image too large! Maximum size is 4096x4096px,Obraz too large! Maximum size is 4096x4096px,Görüntü too large! Maximum size is 4096x4096px,Irudia too large! Maximum size is 4096x4096px,Imatge massa gran! La mida màxima és 4096×4096px,รูปมีขนาดใหญ่เกินไป! ขนาดสูงสุดคือ 4096×4096px,이미지가 너무 큽니다! 최대 크기: 4096×4096px
exportSuccess,Export completed successfully!,¡Exportación completada con éxito!,¡Exportación completada con éxito!,Exportació completada amb èxit!,导出成功！,匯出成功！,エクスポートが完了しました！,Esportazione completata con successo!,Export erfolgreich abgeschlossen!,Export terminé avec succès !,Export completed successfully!,Экспорт completed successfully!,Export completed successfully!,Eksport completed successfully!,Dışa aktar completed successfully!,Esportatu completed successfully!,Exportació completada amb èxit!,ส่งออกสำเร็จ!,내보내기 완료!
loadImageToStart,Import an image to start editing,Importa una imagen para empezar a editar,Importa una imagen para empezar a editar,Importa una imatge per començar a editar,导入图片开始编辑,匯入圖片開始編輯,編集を始めるには画像をインポートしてください,Importa un'immagine per iniziare a modificare,"Importiere ein Bild, um mit der Bearbeitung zu beginnen",Importez une image pour commencer à éditer,Import an image to start editing,Import an image to start editing,Import an image to start editing,Import an image to start editing,Import an image to start editing,Import an image to start editing,Importa una imatge per començar a editar,นำเข้ารูปเพื่อเริ่มแก้ไข,편집을 시작하려면 이미지를 가져오세요
originalLabel,Original:,Original:,Original:,Original:,原始：,原始：,オリジナル:,Originale:,Original:,Original:,Original:,Оригинал:,Original:,Oryginał:,Orijinal:,Jatorrizkoa:,Original:,ต้นฉบับ:,원본:
processedLabel,Processed:,Procesada:,Procesada:,Processada:,已处理：,已處理：,処理済み:,Elaborata:,Verarbeitet:,Traitée:,Processado:,Обработан:,Processado:,Przetworzony:,İşlenmiş:,Prozesatua:,Processat:,ประมวลผลแล้ว:,처리됨:
canvasNotSupported,Canvas not supported,Canvas no soportado,Canvas no soportado,Canvas no compatible,浏览器不支持 Canvas,瀏覽器不支援 Canvas,Canvas がサポートされていません,Canvas non supportato,Canvas wird nicht unterstützt,Canvas non pris en charge,Canvas not supported,Canvas not supported,Canvas not supported,Canvas not supported,Canvas not supported,Canvas not supported,Canvas no compatible,เบราว์เซอร์ไม่รองรับ Canvas,브라우저가 Canvas를 지원하지 않습니다
targetResolutionTooLarge,Target resolution too large! Maximum is 4096px,¡Resolución objetivo demasiado grande! El máximo es 4096px,¡Resolución objetivo demasiado grande! El máximo es 4096px,Resolució objectiu massa gran! El màxim és 4096px,目标分辨率过大！最大为 4096px,目標解析度過大！最大為 4096px,目標解像度が大きすぎます！最大は 4096px,Risoluzione target troppo alta! Il massimo è 4096px,Zielauflösung zu groß! Maximum ist 4096px,Résolution cible trop élevée ! Le maximum est 4096px,Target resolution too large! Maximum is 4096px,Target разрешение too large! Maximum is 4096px,Target resolution too large! Maximum is 4096px,Target rozdzielczość too large! Maximum is 4096px,Target çözünürlük too large! Maximum is 4096px,Target bereizmena too large! Maximum is 4096px,Resolució objectiu massa gran! El màxim és 4096px,ความละเอียดเป้าหมายใหญ่เกินไป! สูงสุดคือ 4096px,목표 해상도가 너무 큽니다! 최대: 4096px
imageTooLargeToProcess,Image too large to process. Try a smaller image or resolution.,Imagen demasiado grande para procesar. Prueba con una imagen o resolución menor.,Imagen demasiado grande para procesar. Prueba con una imagen o resolución menor.,Imatge massa gran per processar. Prova amb una imatge o resolució menor.,图片太大无法处理。请尝试更小的图片或分辨率。,圖片太大無法處理。請嘗試較小的圖片或解析度。,処理するには画像が大きすぎます。小さい画像や解像度を試してください。,Immagine troppo grande per essere processata. Prova con un'immagine o una risoluzione più piccola.,Bild zu groß zum Verarbeiten. Versuche ein kleineres Bild oder eine geringere Auflösung.,Image trop grande pour être traitée. Essayez une image ou une résolution plus petite.,Image too large to process. Try a smaller image or resolution.,Изображение too large to process. Try a smaller image or разрешение.,Image too large to process. Try a smaller image or resolution.,Obraz too large to process. Try a smaller image or rozdzielczość.,Görüntü too large to process. Try a smaller image or çözünürlük.,Irudia too large to process. Try a smaller image or bereizmena.,Imatge massa gran per processar. Prova amb una imatge o resolució menor.,รูปใหญ่เกินกว่าจะประมวลผล ลองใช้รูปที่เล็กลงหรือความละเอียดต่ำลง,이미지를 처리할 수 없습니다. 작은 이미지나 낮은 해상도로 시도하세요.
errorProcessingImage,Error processing image,Error al procesar la imagen,Error al procesar la imagen,Error en processar la imatge,处理图片时出错,處理圖片時發生錯誤,画像の処理中にエラーが発生しました,Errore durante l'elaborazione dell'immagine,Fehler beim Verarbeiten des Bildes,Erreur lors du traitement de l'image,Error processing image,Error processing image,Error processing image,Error processing image,Error processing image,Error processing image,Error en processar la imatge,เกิดข้อผิดพลาดขณะประมวลผลรูป,이미지 처리 중 오류 발생
chooseFile,Choose File,Elegir archivo,Elegir archivo,Escollir fitxer,选择文件,選擇檔案,ファイルを選択,Scegli file,Datei wählen,Choisir un fichier,Choose File,Choose File,Choose File,Choose File,Choose File,Choose File,Escollir fitxer,เลือกไฟล์,파일 선택
noFileChosen,No file chosen,Ningún archivo seleccionado,Ningún archivo seleccionado,Cap fitxer seleccionat,未选择文件,尚未選擇檔案,ファイルが選択されていません,Nessun file selezionato,Keine Datei ausgewählt,Aucun fichier choisi,No file chosen,No file chosen,No file chosen,No file chosen,No file chosen,No file chosen,Cap fitxer seleccionat,ยังไม่ได้เลือกไฟล์,선택된 파일 없음
pageNotFound,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404
oopsPageNotFound,Oops! Page not found,¡Vaya! Página no encontrada,¡Vaya! Página no encontrada,Ups! Pàgina no trobada,页面未找到,找不到頁面,おっと！ページが見つかりません,Ops! Pagina non trovata,Ups! Seite nicht gefunden,Oups ! Page non trouvée,Oops! Page not found,Oops! Page not found,Oops! Page not found,Oops! Page not found,Oops! Page not found,Oops! Page not found,Ups! Pàgina no trobada,โอ๊ะ! ไม่พบหน้า,앗! 페이지를 찾을 수 없습니다
returnToHome,Return to Home,Volver al inicio,Volver al inicio,Tornar a l'inici,返回首页,返回主頁,ホームに戻る,Torna alla home,Zurück zur Startseite,Retour à l'accueil,Return to Home,Return to Home,Return to Home,Return to Home,Return to Home,Return to Home,Tornar a l'inici,กลับสู่หน้าแรก,홈으로 돌아가기
unlimitedColors,Unlimited,Ilimitado,Ilimitado,Ilimitat,无限,無限,無制限,Illimitato,Unbegrenzt,Illimité,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Unlimited,Ilimitat,ไม่จำกัด,무제한
gameBoyColors,4 colors (green),4 colores (verde),4 colores (verde),4 colors (verd),4 色（绿色）,4 色（綠色）,4 色（緑）,4 colori (verde),4 Farben (grün),4 couleurs (vert),4 colors (green),4 цвета (green),4 colors (green),4 kolory (green),4 renkler (green),4 koloreak (green),4 colors (verd),4 สี (เขียว),4 색 (녹색)
